region,price,year,manufacturer,model,cylinders,fuel,odometer
okaloosa / walton,7999,2013.0,dodge,dart,4 cylinders,gas,75812.0
okaloosa / walton,15990,2008.0,jeep,wrangler unlimited x 4x4,6 cylinders,gas,144031.0
okaloosa / walton,7880,2016.0,kia,rio,4 cylinders,gas,70845.0
okaloosa / walton,12980,2017.0,ford,fusion se,4 cylinders,gas,52383.0
okaloosa / walton,1000,2016.0,ford,expedition,8 cylinders,gas,78011.0
okaloosa / walton,28900,2014.0,chevrolet,silverado lt 4x4 crew,8 cylinders,gas,86492.0
okaloosa / walton,52750,2017.0,jaguar,f-type,6 cylinders,gas,8000.0
okaloosa / walton,15900,2012.0,mercedes-benz,benz gl450,8 cylinders,gas,77889.0
okaloosa / walton,0,2013.0,chevrolet,camaro,,gas,105222.0
okaloosa / walton,7995,2010.0,gmc,terrain,,gas,142101.0
okaloosa / walton,18991,2012.0,chevrolet,silverado 1500,8 cylinders,gas,163184.0
okaloosa / walton,0,2017.0,ford,explorer,10 cylinders,gas,50422.0
orlando,14590,2012.0,acura,tl sedan 4d,6 cylinders,gas,81709.0
orlando,21795,2015.0,chevrolet,silverado 1500,8 cylinders,gas,102417.0
orlando,29795,2016.0,chevrolet,silverado 1500,8 cylinders,gas,91872.0
orlando,28950,2014.0,chevrolet,silverado 1500,8 cylinders,gas,124082.0
orlando,34950,2017.0,chevrolet,silverado 1500,8 cylinders,gas,25247.0
orlando,15661,2017.0,toyota,corolla im,4 cylinders,gas,19096.0
orlando,5500,2014.0,toyota,prius,,gas,
orlando,10988,2019.0,hyundai,elantra,,gas,27131.0
pensacola,0,2015.0,ram,pickup 3500,,diesel,164990.0
pensacola,0,2008.0,ford,f-250,,gas,124160.0
pensacola,0,2012.0,,ISUZU NPR,,diesel,
pensacola,37000,2012.0,dodge,5500,6 cylinders,diesel,163000.0
pensacola,32000,1990.0,nissan,skyline gt-r,6 cylinders,gas,78000.0
pensacola,7990,2005.0,toyota,sienna xle,6 cylinders,gas,121359.0
pensacola,8500,2012.0,chevrolet,equinox ltz awd,6 cylinders,gas,110000.0
pensacola,2995,1997.0,buick,lesabre,6 cylinders,gas,141022.0
pensacola,24207,2020.0,ford,escape se suv,,gas,
pensacola,4500,2010.0,toyota,corolla,4 cylinders,gas,207000.0
pensacola,23995,2015.0,ford,expedition,6 cylinders,gas,143067.0
pensacola,8500,2011.0,chevrolet,traverse ltz,6 cylinders,gas,147000.0
pensacola,31995,2016.0,toyota,tundra,8 cylinders,gas,103705.0
pensacola,16995,2014.0,honda,civic,4 cylinders,gas,100541.0
pensacola,25995,2014.0,ram,2500,8 cylinders,gas,164360.0
pensacola,14995,2008.0,toyota,tacoma,6 cylinders,gas,153817.0
pensacola,25995,2015.0,chevrolet,silverado 1500,8 cylinders,gas,174699.0
pensacola,25995,2014.0,jeep,wrangler,6 cylinders,gas,133851.0
columbia / jeff city,14590,2019.0,chevrolet,trax ls sport utility,,gas,16756.0
columbia / jeff city,11980,2016.0,chevrolet,malibu,4 cylinders,gas,83566.0
columbia / jeff city,35990,2020.0,subaru,wrx sti sedan 4d,,gas,2204.0
columbia / jeff city,14990,2013.0,nissan,rogue sv w/sl pkg sport,,gas,27564.0
columbia / jeff city,36990,2012.0,porsche,panamera s sedan 4d,8 cylinders,gas,33821.0
columbia / jeff city,37999,2018.0,ram,1500 ecodiesel,6 cylinders,diesel,
columbia / jeff city,1700,2005.0,ford,focus zxw,,gas,
columbia / jeff city,16900,2019.0,buick,encore,4 cylinders,gas,8500.0
columbia / jeff city,3500,2004.0,chrysler,tc,,gas,223615.0
joplin,6950,2010.0,honda,odyssey ex-l,,gas,176000.0
joplin,6950,2011.0,hyundai,elantra touring gls,,gas,118000.0
joplin,6950,2012.0,mazda,6,,gas,115000.0
joplin,8950,2014.0,kia,optima ex,,gas,108000.0
joplin,7950,2013.0,nissan,maxima 3.5sv,,gas,116000.0
joplin,8500,2007.0,toyota,rav4 limited,4 cylinders,gas,126733.0
joplin,0,2017.0,mazda,cx-5 grand touring,,gas,28795.0
joplin,6000,2012.0,chevrolet,equinox,4 cylinders,gas,146000.0
joplin,3850,2015.0,ford,focus se,4 cylinders,gas,38922.0
joplin,4500,2015.0,chevrolet,sonic,4 cylinders,gas,159743.0
joplin,0,2019.0,nissan,pathfinder sl suv,,gas,40580.0
joplin,16495,2018.0,ford,escape se 4dr suv,,gas,43205.0
joplin,10900,2013.0,ford,taurus sel 4dr sedan,6 cylinders,gas,79839.0
joplin,12995,2013.0,chrysler,300 s 4dr sedan,8 cylinders,gas,107667.0
joplin,32850,2020.0,ram,1500 classic,,gas,1639.0
joplin,16878,2014.0,jeep,grand cherokee,6 cylinders,gas,139967.0
joplin,0,2018.0,chevrolet,colorado lt 4x4 truck,,gas,19509.0
joplin,0,2018.0,dodge,charger sxt sedan,,gas,63878.0
joplin,14000,2016.0,dodge,charger,8 cylinders,gas,444518.0
joplin,13900,2011.0,ford,explorer,6 cylinders,gas,127000.0
joplin,0,2019.0,chevrolet,silverado 1500 lt,,gas,35995.0
joplin,29900,2011.0,chevrolet,silverado 2500hd,8 cylinders,gas,55000.0
joplin,9777,2014.0,subaru,xv crosstrek 2.0 limited,,other,163795.0
joplin,10475,2011.0,honda,pilot ex-l 4wd 5-spd at,6 cylinders,other,161605.0
joplin,13787,2011.0,toyota,sienna limited 7-pass v6,6 cylinders,other,108638.0
joplin,11650,2011.0,gmc,yukon slt1 4wd,8 cylinders,other,172366.0
joplin,11995,2014.0,toyota,prius two 4dr hatchback,,hybrid,75766.0
joplin,9495,2011.0,honda,cr-v ex 4dr suv,,gas,126058.0
joplin,9595,2009.0,honda,cr-v ex l awd 4dr suv,,gas,123757.0
joplin,13295,2013.0,honda,accord sport 4dr sedan cvt,,gas,70804.0
joplin,0,2017.0,chevrolet,impala ls,,other,16509.0
joplin,0,2017.0,ford,f-250sd xlt,,other,66058.0
joplin,0,2019.0,gmc,canyon denali,,other,30796.0
joplin,15480,2020.0,,Kio Rio s,4 cylinders,gas,15286.0
joplin,20995,2017.0,ford,mustang ecoboost premium,,gas,65075.0
joplin,18995,2016.0,cadillac,srx luxury collection,6 cylinders,gas,75036.0
joplin,14995,2017.0,toyota,camry le 4dr sedan,,gas,63284.0
joplin,12900,2000.0,toyota,tundra sr5,8 cylinders,gas,183000.0
joplin,37900,2017.0,chevrolet,tahoe,8 cylinders,gas,57300.0
joplin,0,2019.0,chevrolet,colorado z71 4wd,,gas,47535.0
joplin,0,2019.0,ford,f-150 xl truck,,gas,6708.0
joplin,0,2017.0,subaru,crosstrek 2.0i premium,,other,31023.0
